decade,polityid,official labels 1,description,gemini15f_5l_phase,claude35s_5l_phase,gpt4_5l_phase,gemini15f_5l_explanation,claude35s_5l_explanation,gpt4_5l_explanation,gemini15f_3l_labels,claude35s_3l_labels,gpt4_3l_labels,gemini15f_3l_explanation,claude35s_3l_explanation,gpt4_3l_explanation,r1_3l_labels,r2 3l_labels,r3_3l_labels,r1_3l_explanation,r2_3l_explanation,r3_3l_explanation,r4_5l_label,r6_5l_label,r5_5l_labels,r4_5l_explanation,r5_5l_explanation,r6_5l_explanation,errors_llms_5l,errors_llms_3l,errors_hum_5l,errors_hum_3l
1950,GeEurri,1,Begin of Western EU countries integration: Treaty of Paris  Brussells and Rome (cooperation and custom union). Marshall plan. Independency of previous colonies. Relatively fast growth and baby boom. ideological clash between communism and capitalism. Elite are capitalists. Populations are farmers communists or skilled workers. University as social lift.,1,1,1,(growth) - Post-war recovery,"(growth) - Post-WW2 recovery, Marshall plan, economic integration, social mobility through education","(growth) - Western EU integration, economic growth, independency of colonies",0,0,0,"(rise) - Post-war reconstruction, economic growth, European integration","(rise) - Post-war reconstruction, Marshall Plan, economic integration, social mobility","(rise) - Begin of integration, economic growth, ideological clash",0,0,0,fast growth and baby boom,"fast growth, economic boom and social lift","Partnership between member states, Marshall Plan and economic and demographic growth",0,1,0,"Post War, American control",post wr crisis,"Marshall plan, Indipendency, fast growth and baby boom",(growth) - French intervention and subsequent removal.,"(rise) - French intervention, Maximilian's rule","fight against crime, power in one state",retrenchment of the welfare system
1960,GeEurri,1,strong growth. president DeGaulle initiated his Politics of Grandeur for independence from NATO. he restored cordial Franco-German relations. Pacifist movements and protests of students in 1968 in all western Europe. developement of welfare state. PSI in Italy from 1963. Return of lost lands from Germany to the Netherlands in 1963.,1,1,1,(growth) - Continued growth,"(growth) - Strong economic growth, welfare state development, social reforms","(growth) - Continued strong growth, political reforms, welfare state development",0,0,1,"(rise) - Continued growth, De Gaulle's policies, student protests","(rise) - Strong growth, welfare state development, social reforms","(apex) - Strong growth, social protests, development of welfare state",0,0,1,welfare state and restored Franco-German relations,"strong growth, welfare state, no economic and power struggles","Strong growth, stable relations between member countries, restitution of lands lost from Germany to the Netherlands",1,1,1,"Economy growth, Politics stabilization",politics and cityzen grow,Strong growth,"(elite overproduction) - French intervention, competing elites",(decline) - Foreign intervention,state stress except italy,"Recession, economic challenges, administrative changes"
1970,GeEurri,2,European economic growth decrease with the worldwide 1973 oil crisis. social tensions. increased costs in energy and thus on production. France in 1976 used policies to stop inflation (Barre Plans). Strategy of tension and terrorism of the Years of Lead in Italy. ex prime minister Moro is killed in 1978. Expansion of the Union to Uk Denmark and Ireland.,2,2,2,(immiseration) - Oil crisis,"(immiseration) - Oil crisis, social tensions, inflation issues","(immiseration) - Oil crisis, social tensions, increased production costs",1,1,1,"(apex) - Oil crisis, economic slowdown, social tensions","(apex) - Oil crisis, social tensions, terrorism emerging","(apex) - Oil crisis, social tensions, expansion of the Union",1,1,2,decrease of the economic growth and homocide of italy prime minister,"economic growth decrease, oil crisis","Oil crisis, rising inflation, tensions and terrorism, who killed Aldo Moro?",2,2,2,"market crisis, social tension,  fear",inequalities,"Economic growth decrease, with oil crisis, social tensions","(immiseration) - French intervention, exploitation of resources by new elite","(apex) - French intervention, elite replacement, economic reforms",mafia,"New economic intervention: welfare system, decrease in inflation in Italy"
1980,GeEurri,2,A recession in the early 1980s led to economic intervention: retrenchment of the welfare system in Netherlands and North Europe after 1982. In Italy a set of reforms strongly devaluated the currency reducing inflation and boosting export-led economy based on small and medium-sized enterprises but created poverty in the long run. ,2,2,2,(immiseration) - Recession,"(immiseration) - Welfare retrenchment, economic challenges","(immiseration) - Recession, retrenchment of welfare system, reforms leading to inflation and long-term poverty",1,1,1,"(apex) - Recession, welfare retrenchment, economic reforms","(apex) - Welfare retrenchment, economic interventions","(apex) - Recession, welfare retrenchment",1,2,0,retrenchment of the welfare system,"Recession, economic challenges, administrative changes","New economic intervention: welfare system, decrease in inflation in Italy",2,2,3,"market manipolation, inequity",economic recession,Poverty in the long run,(immiseration) - Economic expansion in the north,(decline) - Toluid Civil War,"economy crisis, riot","4 modernization program, Tiananmen Square incident in 1989 and massacre of protesting students"
1990,GeEurri,3,Treaties of Maastricht  Amsterdam and Nice (unified EU currency and created EU as a legal entity). Liberalizations under president Chirac in the 1990s strengthened French economy. Italy was fighting mafia and corruption and made reforms towards a majoritarian electoral system to improve governability.,3,3,3,(elite overproduction) - Maastricht Treaty,"(elite overproduction) - EU treaties consolidation, liberalization reforms","(elite overproduction) - Maastricht treaties, economic improvements, increasing elite consolidation",1,2,2,"(apex) - Maastricht Treaty, EU expansion, economic liberalization","(decline) - Need for reforms, corruption issues","(decline) - Treaties establishment, liberalization, corruption fight",1,2,1,"creation of EU as an entity, problems created by mafia",Bureaucratic reforms,"EU co-operation, new currency, strengthening French economy, fight against the mafia in Italy",2,3,4,"fight against crime, power in one state",state stress except italy,mafia,"(state stress) - Social tensions, identity debates","(apex) - Elite competition emerges, succession struggles begin",europe crisis,Economic reforms and modernization programs althought Tiananmen Square Incident
2000,GeEurri,3,No global movements in 2001. In 2002 euro banknotes replaced national currencies with effects on the perceived poverty. In 2004 the EU enlarged towards east europe countries. LIberalizations in Italy under prime minister Berlusconi. Global crisis after the 2008 crash of Lehman Brothers had effects in all the Eurozone.,3,3,3,(elite overproduction) - Euro adoption,"(elite overproduction) - Euro introduction, economic tensions","(elite overproduction) - Euro banknotes replace national currencies, increasing perceived poverty, economic crises",2,2,2,"(decline) - Euro adoption, economic crisis, expansion to East Europe","(decline) - Economic crisis, perceived poverty increase","(decline) - No global movements, economic downturns, liberalizations",2,2,2,global crisis with effect in all the Eurozone,"2008 financial crisis,  population movements","integration of the Euro in many member countries, the Knight enters politics, global crisis ",3,3,0,"tinning, social division",crisis after lehman brother crash,No global movements,"(elite overproduction) - Industrialization, cultural shifts due to influence of foreign cultures",(rise) - Kanh election and fragmentation of the Mongol Empire,"Debt crisis in Europe, terrorism","New modernization plan, small sore point: students massacred by the army"
2010,GeEurri,4,Debt crisis in some of the Eurozone countries like Greece in 2012. Quantitative easing debt control policy by BCE. Support in US military operations in Libya and Afghanistan. Riots and Arab terrorism in north Europe. Charlie Hebdo and Bataclan massacres in Paris. Brexit in 2016.,4,4,4,(state stress) - Eurozone debt crisis,"(state stress) - Debt crisis, terrorism, Brexit, social unrest","(state stress) - Debt crisis, social unrest, terrorism attacks in Europe",2,2,2,"(decline) - Eurozone debt crisis, terrorism, Brexit","(decline) - Debt crisis, terrorism, social unrest","(decline) - Debt crisis, support in military operations, riots",2,2,2,debt crisis and terrorism,"Terrorism, military conflicts","Debt crisis, support for military operations, ISIS and massacres",3,4,0,"economy crisis, riot",europe crisis,"Debt crisis in Europe, terrorism",(immiseration) - Kublai Khan's rule,(decline) - Assassination of Servius Tullius,"economy recovery, new politics ideas",improve rule by law suppression of violence and modernization of the country
1950,CnPrcr*,0,established the People s Republic of China (PRC) with Mao Zedong (r. 1949-1976) leading the communist party (CCP). From 1959 to 1961 the PRC implemented an economic and social campaign called the Great Leap Forward  that resulted in a sharp economic decline and an estimated 15 to 55 million deaths  mostly through man-made famine.,0,0,0,(crisis) - Great Leap Forward leads to famine and mass death.,"(crisis) - Great Leap Forward disaster, mass famine","(crisis) - Great leap forward, economic decline, famine causing millions of deaths",2,0,0,"(decline) - Great Leap Forward, famine","(rise) - New communist regime establishment, despite Great Leap Forward failures","(rise) - Establishment of PRC, Great Leap Forward",2,1,2,economic decline and an estimated 15 to 55 millions death through famine,"Economic decline,  million deaths  mostly through man-made famine.","Crazy Chinese people in their asses, economic plan Great Leap Forward, yes, but facing a cliff, 55 million deaths",4,0,0,"economy decline, socila division",social decline,"economic decline, death","(growth) - New dynasty establishment, bureaucratic reforms","(apex) - Political violence, elite conflict",financial crisis,"reforms to improve rule by law suppression of violence and modernization of the country, new elite are again mexican technocrats"
1960,CnPrcr*,1,From 1966 to 1976  the turbulent period of political and social chaos within China known as the Cultural Revolution (cancel capitalist and traditional culture with violence) led to greater economic and educational decline  with millions being purged or subjected to either persecution or politicide. 10 millions of students were sent in the country as farmers. War with India for borders.,0,1,1,(crisis) - Cultural Revolution causes widespread chaos and violence.,(growth) - Cultural Revolution despite challenges,"(growth) - Cultural revolution, purging of capitalist elements, war with India",2,0,0,"(decline) - Cultural Revolution, economic and educational decline","(rise) - Cultural Revolution, though destructive, consolidated power","(rise) - Cultural Revolution, societal chaos",2,2,2,"economic and educational decline, war with India",Political and social chaos known as Cultural Revolution led to greater economic and educational decline,"Ideological supremacy using violence, economic decline, 10 million young minds sent to dig",0,0,0,"economy decline, violence",violence movements,"educational decline, war with India","(Elite Overproduction) Expanding bureaucracy, monopoly over salt and iron, merchandising","(rise) - Consolidation of power, repulsion of population welfare",Socialism,"new reforms aimed at improving the rule of law, repressing violence and increasing the modernization of the country"
1970,CnPrcr*,1,death of Mao Zedong in 1976. the successor Hua Guofeng was gradually forced out of supreme power and the office led by Deng Xiaoping started in 1978 the Boluan Fanzheng (reintegrated the victims of the revolution and restarted the order of the country). Sino-Vietnamese War in 1979 preserved the status quo with no winners.,1,1,1,(growth) - Death of Mao,"(growth) - Post-Mao reforms, restoration of order","(growth) - Boluan Fanzheng period, restoration of order and reintegrating victims of revolution",0,1,1,"(rise) - Death of Mao, beginning of economic reforms","(apex) - Leadership transition, reforms beginning","(apex) - Death of Mao Zedong, power transition, Sino-Vietnamese War",0,2,0,Boluan Fanzheng,Cultural Revolution continues until in 1976 Hua Guofeng was gradually forced out of supreme power and the office led by Deng Xiaoping started in 1978 the Boluan Fanzheng,Glimmer of new hope given by a new Sovereign,1,1,1,"reintegate victims, social stability",restart of the country,Restarted the order of the country,(immiseration) - Kublai Khan's death,(apex) - Battle of the Cremera,"opening border, tecnical develop",defeat of Liao in 1115 and Northern Song in 1127
